Position,Team,Points
1,Brazil,1533
2,Germany,1384
3,Norway,1346
4,Switzerland,1306
5,Saint Kitts And Nevis,1254
6,Denmark,1179
7,Spain,1166
8,Netherlands,1162
9,Sweden,1146
10,Argentina,1118
11,Romania,1106
12,Italy,1054
13,Mexico,1040
14,France,1012
15,England,1008
16,Republic of Ireland,989
17,Uruguay,976
18,Zambia,975
19,Colombia,969
20,Cote Divoire,947
21,Portugal,931
22,United States,930
23,Egypt,889
24,Bulgaria,880
25,Morocco,858
26,Cameroon,841
27,Poland,837
28,Ghana,825
29,Tunisia,786
30,Scotland,777
31,Wales,776
32,Belgium,737
33,Saudi Arabia,737
34,Northern Ireland,735
35,Austria,732
36,Greece,727
37,Algeria,714
38,Finland,711
39,South Korea,709
40,Zimbabwe,700
41,Japan,688
42,Iceland,681
43,Australia,671
44,Ecuador,657
45,Chile,647
46,Bolivia,636
47,Mali,635
48,Costa Rica,612
49,China,608
50,Honduras,604
51,Israel,603
52,Hungary,603
53,Slovakia,591
54,Canada,583
55,Uae,575
56,Turkey,549
57,Senegal,548
58,Iran,545
59,Qatar,530
60,Paraguay,528
61,Kuwait,520
62,Czech,516
63,Guinea,507
64,Iraq,506
65,Dr Congo,495
66,Gabon,493
67,Dpr Korea,462
68,Thailand,458
69,Sierra Leone,450
70,Cyprus,445
71,Peru,439
72,El Salvador,433
73,Yugoslavia,431
74,Singapore,426
75,Jamaica,424
76,Nigeria,423
77,Kenya,422
78,New Zealand,413
79,Malta,410
80,Malawi,407
81,Bahrain,405
82,Oman,404
83,Malaysia,401
84,Syria,401
85,Bermuda,392
86,Lithuania,386
87,Latvia,383
88,Jordan,381
89,Ukraine,381
90,Yemen,379
91,South Africa,378
92,Venezuela,374
93,Albania,374
94,Trinidad And Tobago,364
95,Uganda,364
96,Hong Kong,362
97,Tanzania,354
98,Barbados,347
99,Swaziland,347
